,Infosec URL,Report Date,Filename,MD5,IsDLL,Antidbg,AntiVM,Signed,XOR,Packer1
0,https://infosec.cert-pa.it/analyze/f15c38ca92588c369b59dd4bcdba4523.html,2021-02-03 20:51,cars.gif,f15c38ca92588c369b59dd4bcdba4523,,Yes,,Yes,,
1,https://infosec.cert-pa.it/analyze/36e7f674ff9146b0c6555ecfe9a124fc.html,2021-01-31 15:30,oMz,36e7f674ff9146b0c6555ecfe9a124fc,,Yes,Yes,,,
2,https://infosec.cert-pa.it/analyze/32a6c28727d98c8dc0421f2d30d12c03.html,2021-01-31 11:54,r,32a6c28727d98c8dc0421f2d30d12c03,,Yes,Yes,,,
3,https://infosec.cert-pa.it/analyze/9982a4bc9a66ac4d5b14eacc1072bb41.html,2021-01-31 11:39,V2pz6G,9982a4bc9a66ac4d5b14eacc1072bb41,,Yes,Yes,,,
4,https://infosec.cert-pa.it/analyze/8a886831f4de92c68b0afd67afd80791.html,2021-01-31 3:51,tor.exe,8a886831f4de92c68b0afd67afd80791,,Yes,,,,
5,https://infosec.cert-pa.it/analyze/d4c7849e4462ac20c6f5af50569b879a.html,2021-01-29 7:30,VOEOAoruVKo,d4c7849e4462ac20c6f5af50569b879a,,Yes,Yes,,,
6,https://infosec.cert-pa.it/analyze/8c80ad305fd45ac17c9ee6a273a64e42.html,2021-01-26 18:39,w,8c80ad305fd45ac17c9ee6a273a64e42,,Yes,,,,
7,https://infosec.cert-pa.it/analyze/69ad69047088324a6a754b904abb0c55.html,2021-01-24 9:15,S1.exe,69ad69047088324a6a754b904abb0c55,,,,,,
8,https://infosec.cert-pa.it/analyze/2adfc56ece3bc1e09b0b6a8d019944bf.html,2021-01-24 9:06,%3f%3f%3f%3f.exe,2adfc56ece3bc1e09b0b6a8d019944bf,,,,,,
9,https://infosec.cert-pa.it/analyze/e8f207d0d91edbd77dd5e3f31c9ce777.html,2021-01-24 9:03,DDTank.exe,e8f207d0d91edbd77dd5e3f31c9ce777,,,,,,
10,https://infosec.cert-pa.it/analyze/70aebb0369d357b88359ce1e8505179c.html,2021-01-21 20:42,proxyi.exe,70aebb0369d357b88359ce1e8505179c,,Yes,,Yes,,
11,https://infosec.cert-pa.it/analyze/592c2304df8337fb8f51ef4048892fa9.html,2021-01-18 21:12,tq.exe,592c2304df8337fb8f51ef4048892fa9,,,,,,
12,https://infosec.cert-pa.it/analyze/ac3f689147fb565631a6567834c783b9.html,2021-01-09 10:09,30hCP55,ac3f689147fb565631a6567834c783b9,,Yes,Yes,,,
13,https://infosec.cert-pa.it/analyze/70b77359660a164f6737ad3300bad5d4.html,2021-01-08 19:24,5789,70b77359660a164f6737ad3300bad5d4,,Yes,Yes,,,
14,https://infosec.cert-pa.it/analyze/f56987a8c88d04e4fe00cbb94d897a2e.html,2021-01-07 20:30,pnfil354257,f56987a8c88d04e4fe00cbb94d897a2e,,Yes,,,,
15,https://infosec.cert-pa.it/analyze/6199705074240e2340c0c878207e491b.html,2021-01-07 14:36,2_5jqn_7bc,6199705074240e2340c0c878207e491b,,Yes,Yes,,,
16,https://infosec.cert-pa.it/analyze/db69b00af072a7a27104c1a2316a6b3d.html,2021-01-07 1:09,nxr5_o_d6vmj,db69b00af072a7a27104c1a2316a6b3d,,Yes,Yes,,,
17,https://infosec.cert-pa.it/analyze/152f5b0151614d2f41576a7671ecfa61.html,2021-01-06 12:39,tihvt_5d_3znqq,152f5b0151614d2f41576a7671ecfa61,,,,,,
